strategy,instances,avg_time
GAIN_RATIO,64,0.110508203506469
GAIN_RATIO,31,0.078139901161193
GAIN_RATIO,27,0.069007396697998
GAIN_RATIO,313,1.843281507492065
GAIN_RATIO,203,0.43592071533203103
GAIN_RATIO,486,0.116497993469238
GAIN_RATIO,230,0.043545832236607004
GAIN_RATIO,247,0.07940125465393001
GAIN_RATIO,100,0.014981269836425
GAIN_RATIO,38,0.004998922348022
GAIN_RATIO,23,0.0020372867584220002
GAIN_RATIO,11,0.015570402145385001
GAIN_RATIO,35,0.0075018405914300005
GAIN_RATIO,30,0.004998207092285
GAIN_RATIO,254,0.094435453414916
GAIN_RATIO,207,0.047004222869873005
GAIN_RATIO,112,0.022008180618286
GAIN_RATIO,74,0.015986680984497
GAIN_RATIO,58,0.014499306678771001
GAIN_RATIO,26,0.008546352386474
GAIN_RATIO,167,0.039009094238281
GAIN_RATIO,106,0.024990320205688
GAIN_RATIO,99,0.023499369621276002
GAIN_RATIO,48,0.016017198562622
GAIN_RATIO,24,0.009005427360534
GAIN_RATIO,22,0.006994962692260001
GAIN_RATIO,18,0.006988763809204001
GAIN_RATIO,43,0.012005329132080002
GINI_INDICATOR,1209,0.46284476915995204
GINI_INDICATOR,9,0.100253224372863
GINI_INDICATOR,7,0.068000713984171
GINI_INDICATOR,6,0.10135793685913001
GINI_INDICATOR,1,0.008987426757812
GINI_INDICATOR,138,0.03466044772755
GINI_INDICATOR,110,0.028832952181498003
GINI_INDICATOR,103,0.029999256134033002
GINI_INDICATOR,87,0.028016090393066004
GINI_INDICATOR,43,0.004002332687377001
GINI_INDICATOR,29,0.00299847126007
GINI_INDICATOR,88,0.027508020401
GINI_INDICATOR,17,0.004004716873168
GINI_INDICATOR,89,0.027998208999633
GINI_INDICATOR,66,0.025003433227539004
GINI_INDICATOR,53,0.024125337600708
GINI_INDICATOR,50,0.031998634338378004
GINI_INDICATOR,44,0.02599811553955
GINI_INDICATOR,28,0.023048400878906
GINI_INDICATOR,33,0.025499939918518
GINI_INDICATOR,31,0.027000188827514003
GINI_INDICATOR,108,0.028011322021484004
GINI_INDICATOR,100,0.028000593185424003
GINI_INDICATOR,90,0.026996374130249003
GINI_INDICATOR,86,0.027007341384887
GINI_INDICATOR,84,0.023786147435506003
GINI_IMPURITY,132,0.23498845100402802
GINI_IMPURITY,123,0.08998250961303701
GINI_IMPURITY,32,0.041998863220214004
GINI_IMPURITY,27,0.036299858774457
GINI_IMPURITY,479,0.293830156326293
GINI_IMPURITY,1209,116.47801605860393
GINI_IMPURITY,115,0.09700012207031201
GINI_IMPURITY,65,0.07835356394449801
GINI_IMPURITY,5,0.5506927967071531
GINI_IMPURITY,3,0.412057638168334
GINI_IMPURITY,1,0.008996486663818
GINI_IMPURITY,313,29.58733105659485
GINI_IMPURITY,486,0.990025639533996
GINI_IMPURITY,230,0.809925993283589
GINI_IMPURITY,254,1.005146861076355
GINI_IMPURITY,215,0.830087900161743
GINI_IMPURITY,185,0.603704214096069
GINI_IMPURITY,166,0.507579326629638
GINI_IMPURITY,124,0.297038316726684
GINI_IMPURITY,203,0.9714783430099481
GINI_IMPURITY,186,0.837160348892211
GINI_IMPURITY,178,0.7945263385772701
GINI_IMPURITY,191,0.864237427711486
GINI_IMPURITY,171,0.7659997940063471
INFORMATION_GAIN_MR,478,3.705527782440185
INFORMATION_GAIN_MR,1209,16.349297900994618
INFORMATION_GAIN_MR,64,5.109915733337402
INFORMATION_GAIN_MR,34,4.251142501831055
INFORMATION_GAIN_MR,1,0.010906934738159001
INFORMATION_GAIN_MR,24,4.165977001190185
INFORMATION_GAIN_MR,49,4.728185176849365
INFORMATION_GAIN_MR,14,4.458528518676758
INFORMATION_GAIN_MR,7,4.461726824442546
INFORMATION_GAIN_MR,5,3.562913060188293
INFORMATION_GAIN_MR,486,4.298879623413086
